epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,36865,1.06546,0.42741,0.96652,0.99316,0.98857,0.99378,0.74531,0.98839,0.33567,0.95986,0.0073072,0.0073072,0.0073072
138,37134.1,1.05988,0.42521,0.96486,0.99321,0.98887,0.9938,0.74556,0.98807,0.33533,0.95968,0.0072874,0.0072874,0.0072874
139,37403.5,1.0637,0.42709,0.96612,0.99327,0.98886,0.99382,0.74548,0.98778,0.33536,0.95954,0.0072676,0.0072676,0.0072676
140,37672.5,1.0607,0.42601,0.96414,0.99332,0.98893,0.99385,0.74588,0.98725,0.33539,0.95936,0.0072478,0.0072478,0.0072478
141,37942,1.05686,0.4257,0.96278,0.99285,0.98859,0.99379,0.74642,0.9862,0.3354,0.95906,0.007228,0.007228,0.007228
142,38211,1.05696,0.42583,0.96304,0.99274,0.98865,0.99378,0.74615,0.98585,0.33541,0.9591,0.0072082,0.0072082,0.0072082
143,38480.1,1.05904,0.42476,0.96393,0.99246,0.9892,0.99382,0.74661,0.98551,0.3353,0.95897,0.0071884,0.0071884,0.0071884
144,38749.5,1.05616,0.42362,0.96293,0.99278,0.98892,0.99381,0.7465,0.98437,0.3348,0.95866,0.0071686,0.0071686,0.0071686
145,39018.5,1.0572,0.42569,0.9634,0.99292,0.98881,0.99383,0.74688,0.98359,0.33463,0.95835,0.0071488,0.0071488,0.0071488
146,39287.8,1.05587,0.42337,0.96226,0.99292,0.98908,0.99379,0.74698,0.98322,0.33457,0.95827,0.007129,0.007129,0.007129
147,39556.9,1.05341,0.42256,0.96263,0.993,0.98903,0.99383,0.74727,0.98235,0.33438,0.95792,0.0071092,0.0071092,0.0071092
148,39825.8,1.05487,0.42452,0.96329,0.993,0.98869,0.9938,0.7467,0.98192,0.33418,0.95779,0.0070894,0.0070894,0.0070894
149,40094.9,1.04903,0.42261,0.96138,0.993,0.98878,0.99379,0.74696,0.98109,0.33396,0.9575,0.0070696,0.0070696,0.0070696
150,40363.6,1.05148,0.42193,0.96236,0.99295,0.98892,0.9938,0.74751,0.98024,0.3338,0.95733,0.0070498,0.0070498,0.0070498
151,40632.7,1.05136,0.4224,0.96269,0.99285,0.98892,0.99385,0.74791,0.97914,0.33363,0.95694,0.00703,0.00703,0.00703
152,40901.1,1.05305,0.42211,0.9636,0.99294,0.98849,0.99385,0.7477,0.97873,0.33342,0.95684,0.0070102,0.0070102,0.0070102
153,41170,1.04698,0.42111,0.96146,0.99274,0.98865,0.99378,0.74794,0.97844,0.3334,0.9567,0.0069904,0.0069904,0.0069904
154,41438.7,1.04829,0.4224,0.96082,0.99283,0.98852,0.99381,0.74773,0.97817,0.3333,0.95662,0.0069706,0.0069706,0.0069706
155,41705.9,1.04718,0.42093,0.9605,0.99289,0.98896,0.99389,0.74798,0.97773,0.33335,0.95634,0.0069508,0.0069508,0.0069508
156,41975.3,1.04824,0.42268,0.96064,0.99305,0.98892,0.99386,0.74847,0.97679,0.33307,0.9561,0.006931,0.006931,0.006931
157,42244.8,1.04628,0.42003,0.96146,0.99289,0.98867,0.99382,0.74847,0.97589,0.33299,0.9557,0.0069112,0.0069112,0.0069112
158,42513.7,1.04732,0.42009,0.96133,0.9931,0.98881,0.99385,0.74895,0.97512,0.33286,0.95554,0.0068914,0.0068914,0.0068914
159,42783,1.04586,0.42019,0.95962,0.99291,0.98881,0.99383,0.74985,0.97449,0.33223,0.95538,0.0068716,0.0068716,0.0068716
160,43052.1,1.04908,0.42119,0.96059,0.99278,0.98913,0.99384,0.74937,0.97371,0.332,0.95514,0.0068518,0.0068518,0.0068518
161,43321.5,1.04533,0.42054,0.96026,0.99273,0.98907,0.99386,0.74935,0.97334,0.33199,0.955,0.006832,0.006832,0.006832
162,43591,1.04634,0.4209,0.96092,0.99263,0.98935,0.99387,0.74947,0.97227,0.33188,0.9548,0.0068122,0.0068122,0.0068122
163,43860.1,1.04496,0.42047,0.9609,0.99257,0.98918,0.9939,0.74992,0.97129,0.33148,0.95454,0.0067924,0.0067924,0.0067924
164,44129.2,1.04086,0.41972,0.95864,0.99257,0.98938,0.9939,0.75095,0.97083,0.33147,0.95433,0.0067726,0.0067726,0.0067726
165,44398.5,1.04356,0.4178,0.96072,0.99284,0.98912,0.99387,0.75106,0.97047,0.33138,0.95414,0.0067528,0.0067528,0.0067528
